year,fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,int_volume,total_sales
2028,phev,suv,33.094,5.7,769,36.05,487,5.3,26.8,275.31,7500,7.5,163,48494.5708931501
2028,phev,truck,35.894,8,263,29.58,487,6.6,26.8,275.31,7500,7.5,126,2100.03878955598
2029,conv,car,24.76,8.1,606,32.62,5,12.5689760882894,0,437,0,0,116,98362.721757537
2029,conv,suv,33.825,7.2,511,23.62,5,17.3581710414903,0,437,0,0,173,75053.8589917705
2029,conv,truck,32.82,7.2,555,18.96,5,21.6244725738397,0,437,0,0,142,11987.1317592691
2029,conv,van,22.95,10.3,480,29.41,5,13.940836450187,0,437,0,0,286,1930.57623667743
2029,ev,car,44.319,5.7,343,137.772,655,3.6,83.9,196.65,7500,0,110,7512.34728204477
2029,ev,suv,47.566,4.6,338,130.776,680,3.8,87.1,196.65,7500,0,162,43470.1094085003
2029,ev,truck,60.207,6,263,73.921,937,6.6,119.9,196.65,7500,0,128,283.221658442863
2029,hybrid,car,33.718,8.8,861,47.16,5,8.69380831212892,0.5,437,0,1.5,116,6393.47514647149
2029,hybrid,suv,44.397,7.6,953,44.42,5,9.23007654209815,1.4,437,0,1.5,181,1978.57715044362
2029,hybrid,truck,29.551,10.4,667,50.96,5,8.04552590266876,1.3,437,0,1.5,131,183.497834158625
2029,phev,car,37.897,7.8,820,47.2,291,5.1,16,275.31,7087,7.5,94,1931.04254440969
2029,phev,suv,33.008,5.6,750,35.18,487,5.3,26.8,275.31,7500,7.5,163,53584.5797006538
2029,phev,truck,35.809,8,263,29.56,487,6.6,26.8,275.31,7500,7.5,126,2004.5119561446
2030,conv,car,24.76,8.1,606,32.99,5,12.4280084874204,0,437,0,0,116,92705.5317894255
2030,conv,suv,33.825,7.2,511,23.89,5,17.1619924654667,0,437,0,0,173,70590.6055316562
2030,conv,truck,32.82,7.2,555,19.18,5,21.3764337851929,0,437,0,0,142,10989.4179699415
2030,conv,van,22.95,10.3,480,29.74,5,13.7861466039005,0,437,0,0,286,1823.46798779763
2030,ev,car,44.202,5.7,325,111.76,766,4.4,98,196.65,7500,0,115,8411.11204879266
2030,ev,suv,47.41,4.6,338,130.776,680,3.7,87.1,196.65,7500,0,162,53655.40266323
2030,ev,truck,60.023,5.9,263,73.921,937,6.6,119.9,196.65,7500,0,128,282.153889373475
2030,hybrid,car,33.706,8.8,861,47.17,5,8.69196523213907,0.5,437,0,1.5,116,6023.48785450173
2030,hybrid,suv,44.364,7.6,953,44.44,5,9.22592259225923,1.4,437,0,1.5,181,1868.63095019934
2030,hybrid,truck,29.532,10.4,667,50.98,5,8.0423695566889,1.3,437,0,1.5,131,172.678359293837
2030,phev,car,37.831,7.8,820,47.32,291,5.2,16,275.31,7087,7.5,94,1833.23196112822
2030,phev,suv,32.923,5.6,750,35.28,487,5.4,26.8,275.31,7500,7.5,163,55081.2537987715
2030,phev,truck,35.723,8,263,29.55,487,6.6,26.8,275.31,7500,7.5,126,1904.31101972175
2031,conv,car,24.76,8.1,606,33.35,5,12.2938530734633,0,437,0,0,116,88304.7620696796
2031,conv,suv,34.97,7,572,23.62,5,17.3581710414903,0,437,0,0,176,65675.6717123247
2031,conv,truck,32.82,7.2,555,19.39,5,21.1449200618876,0,437,0,0,142,10145.1379785736
2031,conv,van,22.95,10.3,480,30.07,5,13.6348520119721,0,437,0,0,286,1743.87409116264
2031,ev,car,44.128,5.7,325,111.76,766,4.4,98,196.65,7500,0,115,8553.62672259486
2031,ev,suv,47.34,4.6,338,130.776,680,3.7,87.1,196.65,7500,0,162,65268.8668975275
2031,ev,truck,59.942,5.9,263,73.921,937,6.6,119.9,196.65,7500,0,128,272.228396989139
2031,hybrid,car,33.693,8.8,861,47.64,5,8.60621326616289,0.5,437,0,1.5,116,6378.63975722286
2031,hybrid,suv,44.344,7.6,953,44.88,5,9.13547237076649,1.4,437,0,1.5,181,1784.08552588311
2031,hybrid,truck,29.517,10.4,667,51.49,5,7.96271120605943,1.3,437,0,1.5,131,164.724038617246
2031,phev,car,34.859,6.6,615,37.41,487,4.8,26.8,275.31,7500,7.5,121,2219.18059484609
2031,phev,suv,32.881,5.6,750,35.61,487,5.4,26.8,275.31,7500,7.5,163,54759.9224133878
2031,phev,truck,35.682,8,263,29.81,487,6.7,26.8,275.31,7500,7.5,126,1820.05953027617
2032,conv,car,24.76,8.1,606,33.72,5,12.158956109134,0,437,0,0,116,84368.1514846982
2032,conv,suv,34.97,7,572,23.88,5,17.1691792294807,0,437,0,0,176,62339.4835353667
2032,conv,truck,32.82,7.2,555,19.6,5,20.9183673469388,0,437,0,0,142,9704.04767678399
2032,conv,van,22.95,10.3,480,30.4,5,13.4868421052632,0,437,0,0,286,1675.91028014904
2032,ev,car,44.055,5.7,325,111.76,766,4.4,98,196.65,7500,0,115,9155.2016609404
2032,ev,suv,47.27,4.6,338,130.776,680,3.8,87.1,196.65,7500,0,162,74657.5234311104
2032,ev,truck,48.936,6.4,261,73.359,937,6.7,119.9,196.65,7500,0,128,558.639667402583
2032,hybrid,car,33.681,8.8,861,48.1,5,8.52390852390852,0.5,437,0,1.5,116,5747.39424242601
2032,hybrid,suv,44.323,7.6,953,45.33,5,9.04478270461063,1.4,437,0,1.5,181,1703.84111150057
2032,hybrid,truck,29.502,10.4,667,51.99,5,7.88613194845163,1.3,437,0,1.5,131,157.033841940206
2032,phev,car,34.818,6.6,615,37.76,487,4.8,26.8,275.31,7500,7.5,121,2120.46263524869
2032,phev,suv,32.84,5.6,750,35.95,487,5.4,26.8,275.31,7500,7.5,163,54293.6332741298
2032,phev,truck,35.64,8,263,30.08,487,6.7,26.8,275.31,7500,7.5,126,1737.71901678447
2033,conv,car,24.76,8.1,606,34.09,5,12.0269873863303,0,437,0,0,116,101524.747646601
2033,conv,suv,33.825,7.2,511,24.69,5,16.6059133252329,0,437,0,0,173,72098.8424949955
