year,fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,sales
2015,conv,suv,41.35,7.4,484,21.94,5,14.6809480401094,0,437,0,0,253.846790378975
2015,conv,suv,46.05,6.7,453,20.52,5,15.6968810916179,0,437,0,0,219.644451571233
2015,conv,suv,45.65,7.7,485,21.98,5,14.6542311191993,0,437,0,0,70.8241685131675
2015,conv,suv,49.7,6.7,453,20.51,5,15.7045343734764,0,437,0,0,59.2652083689017
2015,conv,suv,70.05,6,429,15.38,5,20.9427828348505,0,437,0,0,105.908539988965
2015,conv,suv,56.45,7.1,572,20.49,5,15.7198633479746,0,437,0,0,126.319566086257
2015,conv,suv,57.95,8.1,734,28.33,5,11.3695728909283,0,437,0,0,125.776568803899
2015,conv,suv,56.45,7.1,567,20.29,5,15.8748151798916,0,437,0,0,353.757653363194
2015,conv,suv,70.05,6,472,16.91,5,19.0479006505027,0,437,0,0,105.698337881488
2015,conv,suv,73.85,6.3,491,17.6,5,18.3011363636364,0,437,0,0,67.9118074077583
2015,conv,suv,60.55,7.1,564,20.21,5,15.9376546264226,0,437,0,0,86.3166572713393
2015,conv,suv,62.85,7.1,559,20.01,5,16.0969515242379,0,437,0,0,93.513551067201
2015,conv,suv,73.85,6.3,491,17.6,5,18.3011363636364,0,437,0,0,67.9118074077583
2015,conv,car,49.9,6.9,461,25.52,5,12.621473354232,0,437,0,0,97.1449903594829
2015,conv,car,57.9,6.9,417,23.05,5,13.9739696312364,0,437,0,0,56.6643291802379
2015,conv,suv,39.975,7.8,505,18.42,5,17.4864277958741,0,437,0,0,554.690186713716
2015,conv,suv,46.375,7.8,510,18.6,5,17.3172043010753,0,437,0,0,424.022399487423
2015,conv,car,24.99,9.3,468,26.83,5,12.005218039508,0,437,0,0,650.660555189633
2015,conv,suv,26.49,9.4,442,25.31,5,12.7261951797708,0,437,0,0,432.938523258916
2015,conv,car,34.56,6.8,536,23.25,5,13.8537634408602,0,437,0,0,683.174041301681
2015,conv,car,41.425,6.7,500,20.57,5,15.6587263004375,0,437,0,0,340.105028895115
2015,conv,car,30.915,7.3,482,21.47,5,15.0023288309269,0,437,0,0,496.839523341898
2015,conv,car,27.99,8.6,584,26.02,5,12.3789392774789,0,437,0,0,557.982461073721
2015,conv,car,40.735,7.3,477,21.26,5,15.1505174035748,0,437,0,0,253.979714763817
2015,conv,car,30.14,6.9,483,24.83,5,12.9722110350383,0,437,0,0,559.737786073379
2015,conv,car,24.305,8.3,533,27.39,5,11.7597663380796,0,437,0,0,675.954970146655
2015,conv,car,44.335,6.5,426,21.34,5,15.0937207122774,0,437,0,0,183.18749460332
2015,conv,car,36.42,6.8,471,23.59,5,13.6540907164053,0,437,0,0,311.399211135049
